Year,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
CountryName,,,,,,,,,,,,,,
WORLD,23.6,23.1,22.7,22.0,21.5,21.9,22.6,23.3,24.0,25.1,26.3,27.4,28.5,29.6
Burundi,19.5,18.9,18.4,17.7,17.2,17.2,17.6,17.2,16.4,15.3,15.3,16.7,17.6,17.6
Comoros,21.2,20.6,19.6,18.5,17.7,17.5,17.5,17.2,17.0,17.1,17.7,18.4,19.1,19.7
Djibouti,16.5,17.5,18.0,18.0,17.5,16.6,16.5,17.2,17.4,18.1,19.3,20.1,21.9,23.7
Eritrea,17.3,17.8,18.0,18.2,18.1,17.9,17.8,17.7,17.5,16.1,17.1,18.5,18.9,18.9
Ethiopia,17.9,18.0,18.1,18.1,18.0,17.6,17.6,17.0,16.8,16.7,16.6,16.8,17.5,18.6
Kenya,20.0,18.9,17.2,15.8,15.5,15.2,15.0,15.0,15.5,16.4,17.0,17.6,18.2,19.0
Madagascar,20.9,20.2,19.2,17.9,17.2,17.0,16.8,16.9,17.1,17.2,17.3,17.5,18.0,18.7
Malawi,17.1,17.3,17.4,17.5,17.2,16.7,16.3,16.2,17.1,16.9,16.5,16.4,16.7,17.4
Mauritius,17.3,16.9,16.7,16.7,17.8,19.5,21.5,23.1,24.9,26.8,29.0,30.5,32.9,35.6
Mayotte,30.3,22.7,19.4,17.9,16.7,15.6,15.4,15.6,15.9,17.0,17.7,18.3,18.5,19.0
Mozambique,19.1,18.9,18.5,18.2,18.0,17.8,17.8,17.3,16.2,17.5,17.4,17.1,17.0,17.2
Réunion,20.3,18.8,17.8,17.1,17.1,18.4,19.8,22.3,24.0,26.1,28.0,29.0,31.6,34.5
Rwanda,18.0,17.5,16.3,15.4,16.0,16.2,16.0,15.2,15.3,17.8,17.3,18.3,19.1,19.4
Seychelles,26.1,24.0,22.0,19.9,18.0,18.9,19.9,21.8,21.9,24.5,26.3,29.0,31.3,34.6
Somalia,19.5,19.2,18.9,18.5,18.3,18.2,18.1,18.0,17.8,17.4,16.5,16.1,16.1,16.5
South Sudan,18.1,18.6,18.8,18.9,18.6,17.9,17.7,17.8,17.8,17.7,17.6,17.7,18.1,18.6
Uganda,18.2,17.7,17.1,16.7,16.5,16.4,16.2,16.1,15.9,15.5,15.2,15.1,15.3,15.8
United Republic of Tanzania,16.9,17.0,17.0,17.0,16.8,16.7,16.6,16.7,16.8,17.0,17.2,17.2,17.2,17.3
Zambia,17.5,17.5,17.2,16.8,16.4,16.1,16.1,16.3,16.4,16.5,16.6,16.4,16.5,17.1
Zimbabwe,19.0,18.2,17.4,16.3,15.8,15.7,15.4,15.9,16.6,17.2,17.8,18.3,18.6,19.0
Angola,19.8,18.8,17.9,16.8,16.7,16.6,16.2,16.0,15.8,16.0,16.2,16.3,16.3,16.4
Cameroon,20.4,20.4,20.2,19.7,19.1,18.4,17.7,17.2,16.8,16.9,17.3,17.7,18.0,18.3
Central African Republic,22.5,22.1,21.4,20.8,20.0,19.3,18.9,18.9,18.4,18.6,18.6,18.6,18.5,17.8
Chad,21.5,20.7,19.9,19.2,18.6,18.2,17.5,16.8,16.3,15.9,15.6,15.4,15.6,16.1
Congo,20.1,19.9,19.6,19.0,18.4,17.9,17.5,17.6,17.9,18.5,19.0,19.1,19.3,18.9
Democratic Republic of the Congo,18.1,18.1,18.2,18.2,18.1,17.8,17.7,17.5,17.4,17.2,17.2,17.0,16.9,16.8
Equatorial Guinea,23.8,22.9,22.0,21.4,20.7,20.8,20.5,19.6,19.1,18.9,19.6,20.6,21.6,22.2
Gabon,28.1,27.6,27.0,26.1,25.3,23.5,21.6,20.0,19.4,19.2,19.4,20.2,21.5,22.6
Sao Tome and Principe,24.5,24.5,24.6,20.2,16.3,16.1,16.3,16.1,16.0,16.6,17.3,17.5,17.8,18.1
Algeria,19.4,18.6,17.9,16.6,16.4,16.5,16.7,17.1,18.0,19.4,21.7,24.1,26.0,27.5
Egypt,20.6,20.7,19.9,19.0,19.0,19.2,19.4,19.5,19.6,20.1,21.2,22.6,23.9,24.7
Libya,21.0,19.8,19.3,18.5,17.0,16.1,16.1,17.4,18.5,20.2,22.1,24.0,25.8,27.2
Morocco,19.5,19.2,18.1,16.3,16.2,16.8,17.8,18.7,19.8,21.1,22.7,24.4,26.3,27.9
Sudan,18.1,17.8,17.5,17.1,16.8,16.5,16.4,16.6,17.0,17.7,17.9,18.1,18.3,18.9
Tunisia,20.3,19.4,18.5,17.5,17.0,17.8,18.6,19.9,21.3,23.1,25.1,27.2,29.2,31.1
Western Sahara,18.7,20.1,20.8,21.1,20.2,16.7,21.2,21.4,21.1,21.2,22.3,24.2,25.5,26.8
Botswana,19.2,18.6,17.2,15.8,15.8,16.2,16.6,16.7,17.5,18.8,20.1,21.5,23.0,24.4
Lesotho,19.8,19.1,18.3,18.0,17.8,17.5,17.6,17.5,17.7,18.4,18.7,19.4,20.5,21.3
Namibia,20.9,20.2,19.3,18.8,18.4,17.8,16.6,16.4,17.8,18.6,19.5,19.6,19.9,21.0
South Africa,21.1,20.3,19.6,19.1,19.0,19.2,19.3,19.6,20.1,21.6,22.8,23.8,24.8,26.1
Swaziland,18.4,17.9,17.4,16.8,16.3,15.9,15.6,15.6,16.0,16.3,17.2,18.0,19.2,20.4
Benin,24.2,22.3,20.9,20.0,19.1,18.3,17.7,17.3,17.1,17.2,17.3,17.6,17.9,18.2
Burkina Faso,19.5,19.4,19.1,18.8,18.3,17.8,17.1,16.6,16.3,16.3,16.4,16.6,16.7,17.0
Cabo Verde,23.0,21.7,20.5,16.7,15.7,15.8,16.0,17.0,16.9,17.2,18.0,19.7,22.0,23.8
Côte d'Ivoire,18.3,18.6,18.6,18.4,17.7,17.6,17.4,17.4,17.5,17.9,18.0,17.8,17.9,18.3
Gambia,19.5,20.1,20.8,20.2,20.3,18.7,17.8,16.8,17.0,16.6,16.8,16.8,16.8,17.0
Ghana,17.4,17.6,17.7,17.6,17.3,16.9,17.0,17.4,17.8,18.4,18.8,19.3,19.9,20.4
Guinea,21.9,20.8,20.1,19.6,19.2,19.3,19.1,18.7,18.2,17.9,17.8,17.8,18.1,18.4
Guinea-Bissau,21.8,20.9,20.1,19.9,19.7,19.7,18.4,17.4,16.9,17.0,17.1,17.8,18.4,18.9
Liberia,19.1,19.0,19.0,18.8,18.3,17.8,17.5,17.3,17.4,17.8,18.1,18.2,18.3,18.6
Mali,20.9,20.1,19.5,19.3,18.8,18.5,17.9,17.4,16.5,16.5,16.6,16.5,16.2,16.0
Mauritania,17.9,18.0,17.7,17.3,17.0,17.0,17.1,17.3,17.4,17.6,18.2,18.7,19.2,19.7
Niger,15.2,15.6,15.8,15.6,15.6,15.7,16.0,15.7,15.8,15.9,15.9,15.4,15.0,14.9
Nigeria,19.1,19.1,19.1,19.0,18.7,18.3,18.0,17.5,17.4,17.7,17.9,18.0,17.9,17.9
Senegal,19.1,18.6,18.2,17.7,17.7,17.6,16.8,16.3,16.4,16.8,17.3,17.8,18.1,18.3
Sierra Leone,20.4,20.5,20.6,20.5,20.2,19.4,18.5,17.8,17.4,17.4,17.5,17.6,17.8,18.3
Togo,19.4,18.9,18.5,18.1,17.6,17.1,16.8,16.7,16.8,17.0,17.9,18.3,18.6,18.9
China,23.9,22.3,21.4,19.8,19.3,20.4,21.9,23.6,24.9,27.3,30.1,32.7,35.2,37.0
"China, Hong Kong SAR",23.7,24.0,23.4,21.4,21.7,23.1,25.7,28.3,31.0,34.0,36.2,39.1,41.2,43.2
"China, Macao SAR",25.7,25.2,21.3,17.6,18.8,22.6,25.7,27.6,28.9,31.1,33.3,34.4,36.4,37.6
"China, Taiwan Province of China",18.9,18.1,17.4,17.7,18.5,20.5,22.9,24.8,27.3,29.6,31.8,34.4,37.0,39.6
Dem. People's Republic of Korea,18.0,19.1,19.9,21.1,21.0,19.6,21.8,23.5,25.0,27.3,29.4,31.5,33.0,34.0
Japan,22.3,23.6,25.4,27.2,28.8,30.3,32.6,35.0,37.3,39.4,41.2,43.0,44.7,46.3
Mongolia,25.0,24.3,23.0,20.4,18.3,17.5,17.8,18.5,19.3,20.3,22.0,24.0,25.7,27.1
Republic of Korea,19.0,18.9,18.6,18.4,19.0,19.9,22.1,24.3,26.9,29.3,31.9,34.8,38.0,40.8
Kazakhstan,23.2,23.3,22.9,22.4,21.8,22.3,23.5,24.6,26.0,27.1,27.8,28.6,28.9,29.3
Kyrgyzstan,25.3,25.3,24.0,21.6,19.4,19.6,20.9,21.7,21.8,21.6,22.5,23.8,24.0,25.3
